Year,Month,Total,,,,
2012,11,1.57,,42.04,,
2012,12,0.81,,41.85,,
2013,1,2.02,,42.04,,
2013,2,2.83,,40.46,,
2013,3,3.62,,37.71,,
2013,4,5.26,,35.42,,
2013,5,6.73,,31.35,,
2013,6,5.69,,26.68,,
2013,7,3.65,,27.65,,
2013,8,3.65,,26.15,,
2013,9,1.74,,23.86,,
2013,10,4.47,,24.42,,
2013,11,1.38,,25.18,,
2013,12,1,,24.8,,
2014,1,0.44,,25.6,,
2014,2,0.08,,25.8,,
2014,3,1.33,,26.24,,
2014,4,1.19,,27,,
2014,5,2.06,,29.01,,
2014,6,6.66,,35.15,,
2014,7,2.15,,33.57,,
2014,8,1.36,,34.86,,
2014,9,2.3,,38.75,,
2014,10,5.23,,37.9,,
2014,11,1,,34.18,,
2014,12,1.8,,40.59,,
2015,1,0.64,,47.17,,
2015,2,0.52,,47.05,,
2015,3,2.09,,46.88,,
2015,4,3.2,,47.06,,
2015,5,8.2,,48.04,,
2015,6,5.08,,46.88,,
2015,7,3.44,,46.18,,
2015,8,5.25,,48.39,,
2015,9,1.45,,45.39,,
2015,10,1.51,,49.21,,
2015,11,7.41,,52.45,,
2015,12,8.38,,45.74,,
2016,1,0.52,,38.22,,
2016,2,0.35,,40.18,,
2016,3,2.27,,40.02,,
2016,4,4.18,,40.02,,
2016,5,7.04,,47.94,,
2016,6,4.38,,48.53,,
2016,7,5.65,,48.45,,
2016,8,2.25,,46.07,,
2016,9,5.27,,50.91,,
2016,10,4.75,,47.58,,
2016,11,0.7,,47.17,,
2016,12,0.86,,46.84,,
2017,1,2.48,,46.75,,
2017,2,0.19,,45,,
2017,3,2.27,,48.78,,
2017,4,12.1,,48.61,,
2017,5,7.63,,37.86,,
2017,6,4.3,,34.5,,
2017,7,3.27,,32.59,,
2017,8,7.09,,31.4,,
2017,9,1.94,,29.97,,
2017,10,4.34,,31.22,,
2017,11,0.37,,29.39,,
2017,12,0.77,,31.08,,
2018,1,0.73,,33.62,,
2018,2,3.97,,34.59,,
2018,3,2.1,,32.95,,
2018,4,1.35,,34.04,,
2018,5,4.27,,38.12,,
2018,6,2.39,,48.74,,
2018,7,2.08,,52.5,,
2018,8,5.66,,56.31,,
2018,9,3.19,,57.91,,
2018,10,2.51,,59.72,,
2018,11,2.06,,62.44,,
2018,12,3.31,,62.37,,
2019,1,1.7,,60.56,,
2019,2,2.33,,62.48,,
2019,3,3.19,,62.66,,
2019,4,5.43,,66.04,,
2019,5,14.89,,64.18,,
2019,6,6.15,,57.66,,
2019,7,5.89,,53.06,,
2019,8,7.26,,51.82,,
2019,9,5,,46.69,,
2019,10,5.23,,41.98,,
2019,11,1.99,,40.19,,
2019,12,1.5,,41.44,,
2020,1,3.62,,41.49,,
2020,2,2.51,,43.14,,
2020,3,6.57,,40.96,,
2020,4,3.57,,39.43,,
2020,5,8.37,,38.34,,
2020,6,1.55,,34.94,,
2020,7,4.65,,41.05,,
2020,8,2.13,,42.26,,
2020,9,0.29,,42.81,,
2020,10,3.44,,43.86,,
2020,11,3.24,,47.44,,
2020,12,1.55,,45.27,,
2021,1,5.27,,45,,
2021,2,0.33,,40.3,,
2021,3,5.04,,41.42,,
2021,4,2.48,,40.32,,
2021,5,4.97,,40.65,,
2021,6,7.66,,45.01,,
2021,7,5.86,,40.8,,
2021,8,2.68,,35.89,,
2021,9,1.34,,35.23,,
2021,10,7.02,,34.65,,
2021,11,1.07,,30.47,,
2021,12,1.28,,32.67,,
2022,1,0.57,,33.35,,
2022,2,1.45,,34.42,,
2022,3,3.94,,35.17,,
2022,4,2.81,,33.44,,
2022,5,9.33,,31.49,,
2022,6,3.45,,26.62,,
2022,7,0.95,,25.77,,
2022,8,2.02,,27.06,,
2022,9,0.76,,29.4,,
2022,10,2.84,,33.5,,
2022,11,3.27,,32.59,,
2022,12,1.96,,30.88,,
2023,1,1.64,,31.39,,
2023,2,2.2,,31.87,,
2023,3,2.21,,30.64,,
2023,4,0.86,,31.24,,
2023,5,4.46,,37.49,,
2023,6,2.6,,39.42,,
2023,7,2.24,,,,
2023,8,4.36,,,,
2023,9,4.86,,,,
2023,10,1.93,,,,
2023,11,1.56,,,,
2023,12,2.47,,,,
2024,1,2.12,,,,
2024,2,0.97,,,,
2024,3,2.81,,,,
2024,4,7.11,,,,
2024,5,6.39,,,,
