Timescale_Months,Location,Month,SPI_Value,Severity_Label,Rainfall_Threshold_in
1,"Auxvasse, Audrain County, MO",April,-0.8,Moderate Drought,2.1387
1,"Auxvasse, Audrain County, MO",April,-0.5,Abnormally Dry,2.6258
1,"Auxvasse, Audrain County, MO",April,0.5,Abnormally Wet,4.791
1,"Auxvasse, Audrain County, MO",April,0.8,Moderate Wet,5.6174
1,"Auxvasse, Audrain County, MO",April,1.3,Severe Wet,7.1899
1,"Auxvasse, Audrain County, MO",April,1.6,Extreme Wet,8.2549
1,"Auxvasse, Audrain County, MO",April,2,Exceptional Wet,9.8213
1,"Auxvasse, Audrain County, MO",May,-2,Exceptional Drought,1.5355
1,"Auxvasse, Audrain County, MO",May,-1.6,Extreme Drought,1.9313
1,"Auxvasse, Audrain County, MO",May,-1.3,Severe Drought,2.2726
1,"Auxvasse, Audrain County, MO",May,-0.8,Moderate Drought,2.9325
1,"Auxvasse, Audrain County, MO",May,-0.5,Abnormally Dry,3.3865
1,"Auxvasse, Audrain County, MO",May,0.5,Abnormally Wet,5.2405
1,"Auxvasse, Audrain County, MO",May,0.8,Moderate Wet,5.9051
1,"Auxvasse, Audrain County, MO",May,1.3,Severe Wet,7.1306
1,"Auxvasse, Audrain County, MO",May,1.6,Extreme Wet,7.9386
1,"Auxvasse, Audrain County, MO",May,2,Exceptional Wet,9.1031
1,"Auxvasse, Audrain County, MO",June,-2,Exceptional Drought,0.94
1,"Auxvasse, Audrain County, MO",June,-1.6,Extreme Drought,1.364
1,"Auxvasse, Audrain County, MO",June,-1.3,Severe Drought,1.7651
1,"Auxvasse, Audrain County, MO",June,-0.8,Moderate Drought,2.6147
1,"Auxvasse, Audrain County, MO",June,-0.5,Abnormally Dry,3.2449
1,"Auxvasse, Audrain County, MO",June,0.5,Abnormally Wet,6.0881
1,"Auxvasse, Audrain County, MO",June,0.8,Moderate Wet,7.1846
1,"Auxvasse, Audrain County, MO",June,1.3,Severe Wet,9.2818
1,"Auxvasse, Audrain County, MO",June,1.6,Extreme Wet,10.708
1,"Auxvasse, Audrain County, MO",June,2,Exceptional Wet,12.8123
1,"Auxvasse, Audrain County, MO",July,-2,Exceptional Drought,0.4016
1,"Auxvasse, Audrain County, MO",July,-1.6,Extreme Drought,0.6804
1,"Auxvasse, Audrain County, MO",July,-1.3,Severe Drought,0.973
1,"Auxvasse, Audrain County, MO",July,-0.8,Moderate Drought,1.6578
1,"Auxvasse, Audrain County, MO",July,-0.5,Abnormally Dry,2.2068
1,"Auxvasse, Audrain County, MO",July,0.5,Abnormally Wet,4.9372
1,"Auxvasse, Audrain County, MO",July,0.8,Moderate Wet,6.0602
1,"Auxvasse, Audrain County, MO",July,1.3,Severe Wet,8.2746
1,"Auxvasse, Audrain County, MO",July,1.6,Extreme Wet,9.8178
1,"Auxvasse, Audrain County, MO",July,2,Exceptional Wet,12.1355
1,"Auxvasse, Audrain County, MO",August,-2,Exceptional Drought,0.8281
1,"Auxvasse, Audrain County, MO",August,-1.6,Extreme Drought,1.1565
1,"Auxvasse, Audrain County, MO",August,-1.3,Severe Drought,1.4594
1,"Auxvasse, Audrain County, MO",August,-0.8,Moderate Drought,2.0854
1,"Auxvasse, Audrain County, MO",August,-0.5,Abnormally Dry,2.5406
1,"Auxvasse, Audrain County, MO",August,0.5,Abnormally Wet,4.5428
1,"Auxvasse, Audrain County, MO",August,0.8,Moderate Wet,5.3012
1,"Auxvasse, Audrain County, MO",August,1.3,Severe Wet,6.739
1,"Auxvasse, Audrain County, MO",August,1.6,Extreme Wet,7.7097
1,"Auxvasse, Audrain County, MO",August,2,Exceptional Wet,9.1342
1,"Auxvasse, Audrain County, MO",September,-2,Exceptional Drought,0.2468
1,"Auxvasse, Audrain County, MO",September,-1.6,Extreme Drought,0.4305
1,"Auxvasse, Audrain County, MO",September,-1.3,Severe Drought,0.6274
1,"Auxvasse, Audrain County, MO",September,-0.8,Moderate Drought,1.097
1,"Auxvasse, Audrain County, MO",September,-0.5,Abnormally Dry,1.4789
1,"Auxvasse, Audrain County, MO",September,0.5,Abnormally Wet,3.4124
